品种,综合方向,综合强度,综合星级,净得分,研报分析_方向,研报分析_强度,研报分析_星级,虚实比PCR_方向,虚实比PCR_强度,虚实比PCR_星级,期限结构_方向,期限结构_强度,期限结构_星级,波动率背离_方向,波动率背离_强度,波动率背离_星级,资金面_方向,资金面_强度,资金面_星级
v_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
y_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
ad_o,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐
al_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
pb_o,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐
rb_o,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐
sn_o,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
sp_o,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
PF,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
PX,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
SH,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
a_o,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
cs_o,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
lh_o,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
m_o,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
bu_o,多头,1,⭐,1,多头,2,⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
PK,中性,1,⭐,0,中性,1,⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐,中性,1,⭐
PL,空头,1,⭐,-1,中性,1,⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
lg_o,空头,1,⭐,-1,中性,1,⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
op_o,空头,1,⭐,-2,中性,1,⭐,中性,1,⭐,空头,2,⭐⭐,中性,1,⭐,中性,1,⭐
